,Unnamed: 0,school,sex,age,famsize,Pstatus,Medu,Fedu,traveltime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,location,study_time
0,0,GP,F,18,GT3,A,4,4,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6,Urban,2 to 5 hours
1,1,GP,F,17,GT3,T,1,1,1,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6,Urban,2 to 5 hours
2,2,GP,F,15,LE3,T,1,1,1,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10,Urban,2 to 5 hours
3,3,GP,F,15,GT3,T,4,2,1,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,Urban,5 to 10 hours
4,4,GP,F,16,GT3,T,3,3,1,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10,Urban,2 to 5 hours
5,5,GP,M,16,LE3,T,4,3,1,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15,Urban,2 to 5 hours
6,6,GP,M,16,LE3,T,2,2,1,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11,Urban,2 to 5 hours
7,7,GP,F,17,GT3,A,4,4,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6,Urban,2 to 5 hours
8,8,GP,M,15,LE3,A,3,2,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19,Urban,2 to 5 hours
9,9,GP,M,15,GT3,T,3,4,1,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15,Urban,2 to 5 hours
10,10,GP,F,15,GT3,T,4,4,1,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9,Urban,2 to 5 hours
11,11,GP,F,15,GT3,T,2,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12,Urban,5 to 10 hours
12,12,GP,M,15,LE3,T,4,4,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14,Urban,<2 hours
13,13,GP,M,15,GT3,T,4,3,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11,Urban,2 to 5 hours
14,14,GP,M,15,GT3,A,2,2,1,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16,Urban,5 to 10 hours
15,15,GP,F,16,GT3,T,4,4,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14,Urban,<2 hours
16,16,GP,F,16,GT3,T,4,4,1,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14,Urban,5 to 10 hours
17,17,GP,F,16,GT3,T,3,3,3,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10,Urban,2 to 5 hours
18,18,GP,M,17,GT3,T,3,2,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5,Urban,<2 hours
19,19,GP,M,16,LE3,T,4,3,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10,Urban,<2 hours
20,20,GP,M,15,GT3,T,4,3,1,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15,Urban,2 to 5 hours
21,21,GP,M,15,GT3,T,4,4,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15,Urban,<2 hours
22,22,GP,M,16,LE3,T,4,2,1,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16,Urban,2 to 5 hours
23,23,GP,M,16,LE3,T,2,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12,Urban,2 to 5 hours
24,24,GP,F,15,GT3,T,2,4,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8,Rural,5 to 10 hours
25,25,GP,F,16,GT3,T,2,2,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8,Urban,<2 hours
26,26,GP,M,15,GT3,T,2,2,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11,Urban,<2 hours
